#node	identifier	node_degree
ACHE	9606.ENSP00000303211	5
ADAM10	9606.ENSP00000260408	8
APH1A	9606.ENSP00000358105	10
APH1B	9606.ENSP00000261879	6
APOC4	9606.ENSP00000468236	2
APOE	9606.ENSP00000252486	17
APP	9606.ENSP00000284981	26
BACE1	9606.ENSP00000318585	18
BACE2	9606.ENSP00000332979	3
BCHE	9606.ENSP00000264381	4
CDK5	9606.ENSP00000419782	6
CDK5R1	9606.ENSP00000318486	3
GSAP	9606.ENSP00000257626	5
GSK3B	9606.ENSP00000324806	6
IDE	9606.ENSP00000265986	4
IGLV10-54	9606.ENSP00000491969	2
LRP1	9606.ENSP00000243077	5
LRP8	9606.ENSP00000303634	3
MAPT	9606.ENSP00000340820	15
MMEL1	9606.ENSP00000367668	8
NCSTN	9606.ENSP00000294785	10
PICALM	9606.ENSP00000377015	6
PRNP	9606.ENSP00000399376	8
PSEN1	9606.ENSP00000326366	21
PSEN2	9606.ENSP00000355747	16
PSENEN	9606.ENSP00000468411	10
SORL1	9606.ENSP00000260197	7
TREM2	9606.ENSP00000362205	6
